<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	21:36:00	253.56	253.58	253.51	253.52	49	7256	1
2025.10.09	21:37:00	253.51	253.64	253.51	253.63	88	24582	1
2025.10.09	21:38:00	253.62	253.64	253.58	253.60	81	15993	1
2025.10.09	21:39:00	253.60	253.66	253.60	253.61	75	10343	1
2025.10.09	21:40:00	253.62	253.65	253.60	253.65	74	13904	1
2025.10.09	21:41:00	253.65	253.65	253.48	253.54	108	16841	1
2025.10.09	21:42:00	253.55	253.56	253.48	253.50	67	11807	1
2025.10.09	21:43:00	253.51	253.52	253.45	253.45	86	24693	1
2025.10.09	21:44:00	253.45	253.46	253.40	253.41	82	12264	1
2025.10.09	21:45:00	253.41	253.41	253.32	253.39	107	26791	1
2025.10.09	21:46:00	253.39	253.43	253.36	253.39	86	18282	1
2025.10.09	21:47:00	253.40	253.46	253.40	253.43	77	11125	1
2025.10.09	21:48:00	253.44	253.47	253.43	253.44	86	13232	1
2025.10.09	21:49:00	253.45	253.52	253.44	253.52	93	17982	1
2025.10.09	21:50:00	253.51	253.67	253.48	253.67	152	26292	1
2025.10.09	21:51:00	253.67	253.73	253.61	253.62	190	31771	1
2025.10.09	21:52:00	253.63	253.66	253.56	253.58	101	18939	1
2025.10.09	21:53:00	253.58	253.61	253.50	253.58	108	19175	1
2025.10.09	21:54:00	253.55	253.64	253.55	253.64	131	21916	1
2025.10.09	21:55:00	253.65	253.72	253.63	253.67	124	19057	1
2025.10.09	21:56:00	253.67	253.77	253.67	253.75	125	20232	1
2025.10.09	21:57:00	253.74	253.77	253.71	253.75	151	28991	1
2025.10.09	21:58:00	253.75	253.80	253.75	253.77	156	27054	1
2025.10.09	21:59:00	253.78	253.81	253.75	253.81	100	16219	1
2025.10.09	22:00:00	253.80	253.81	253.71	253.76	135	19732	1
2025.10.09	22:01:00	253.77	253.89	253.75	253.89	122	23443	1
2025.10.09	22:02:00	253.88	253.90	253.81	253.87	88	16628	1
2025.10.09	22:03:00	253.87	253.90	253.84	253.87	84	11181	1
2025.10.09	22:04:00	253.87	253.89	253.76	253.76	90	17917	1
2025.10.09	22:05:00	253.75	253.81	253.64	253.65	175	38150	1
2025.10.09	22:06:00	253.64	253.79	253.64	253.74	128	29030	1
2025.10.09	22:07:00	253.77	253.83	253.77	253.79	112	23168	1
2025.10.09	22:08:00	253.79	253.94	253.79	253.92	77	16757	1
2025.10.09	22:09:00	253.94	254.03	253.91	254.02	136	28538	1
2025.10.09	22:10:00	254.01	254.12	253.96	253.97	169	45203	1
2025.10.09	22:11:00	253.95	254.05	253.93	254.05	87	13806	1
2025.10.09	22:12:00	254.05	254.09	254.03	254.07	82	14122	1
2025.10.09	22:13:00	254.05	254.09	253.93	253.94	151	26155	1
2025.10.09	22:14:00	253.95	254.01	253.94	254.01	85	20013	1
2025.10.09	22:15:00	254.00	254.06	253.91	253.93	225	40531	1
2025.10.09	22:16:00	253.95	254.02	253.94	253.98	81	16085	1
2025.10.09	22:17:00	253.96	254.01	253.92	253.94	173	25931	1
2025.10.09	22:18:00	253.94	253.99	253.93	253.94	132	24382	1
2025.10.09	22:19:00	253.94	253.99	253.87	253.88	221	38392	1
2025.10.09	22:20:00	253.86	253.87	253.79	253.81	178	45448	1
2025.10.09	22:21:00	253.82	253.96	253.82	253.90	131	28065	1
2025.10.09	22:22:00	253.91	253.93	253.84	253.85	121	22900	1
2025.10.09	22:23:00	253.85	254.00	253.84	253.98	120	19003	1
2025.10.09	22:24:00	253.99	254.11	253.99	254.00	163	29394	1
2025.10.09	22:25:00	253.99	254.00	253.90	253.92	114	25727	1
