<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.10	18:35:00	710.64	712.12	710.46	711.43	140	27054	1
2025.10.10	18:36:00	711.69	712.11	710.22	711.22	160	29937	1
2025.10.10	18:37:00	711.28	712.14	710.80	711.78	81	11873	1
2025.10.10	18:38:00	711.80	711.90	710.85	711.33	109	18477	1
2025.10.10	18:39:00	711.41	712.92	711.24	711.68	136	23894	1
2025.10.10	18:40:00	711.38	711.69	710.38	710.62	87	11122	1
2025.10.10	18:41:00	710.38	712.08	710.05	711.89	63	9376	1
2025.10.10	18:42:00	711.79	712.57	711.03	712.52	109	17145	1
2025.10.10	18:43:00	712.40	713.49	712.25	713.05	238	37586	1
2025.10.10	18:44:00	713.29	715.97	713.05	715.55	157	25614	1
2025.10.10	18:45:00	715.77	716.89	715.35	715.82	206	32246	3
2025.10.10	18:46:00	715.84	716.79	715.45	715.80	163	24461	1
2025.10.10	18:47:00	715.60	715.67	714.29	714.29	130	19443	1
2025.10.10	18:48:00	714.42	715.95	714.22	715.95	98	20259	7
2025.10.10	18:49:00	715.97	716.13	715.20	715.61	100	15390	1
2025.10.10	18:50:00	715.30	715.97	715.00	715.78	124	22509	1
2025.10.10	18:51:00	716.08	717.19	716.07	716.23	140	27911	1
2025.10.10	18:52:00	716.25	716.46	714.81	716.45	204	43725	1
2025.10.10	18:53:00	716.46	716.72	715.76	716.49	128	25119	2
2025.10.10	18:54:00	715.98	716.90	715.69	716.25	52	8093	1
2025.10.10	18:55:00	716.30	716.30	715.35	715.97	117	16972	2
2025.10.10	18:56:00	715.99	716.14	713.51	714.36	103	14633	1
2025.10.10	18:57:00	714.55	715.04	714.25	714.82	58	9495	1
2025.10.10	18:58:00	714.91	715.53	714.27	715.48	106	13500	1
2025.10.10	18:59:00	715.48	715.73	714.22	715.20	57	9189	5
2025.10.10	19:00:00	715.00	715.00	713.56	713.70	153	26716	1
2025.10.10	19:01:00	713.67	714.69	713.67	714.03	128	15581	4
2025.10.10	19:02:00	714.22	715.09	714.00	714.34	97	15205	1
2025.10.10	19:03:00	714.25	714.90	713.93	714.44	110	18667	9
