<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	22:15:00	230.83	231.40	230.82	231.33	472	116163	1
2025.10.09	22:16:00	231.35	231.37	230.85	231.03	311	68704	1
2025.10.09	22:17:00	231.05	231.34	230.99	231.30	342	73627	1
2025.10.09	22:18:00	231.31	231.85	231.21	231.79	542	113942	1
2025.10.09	22:19:00	231.77	231.87	231.57	231.64	380	116640	1
2025.10.09	22:20:00	231.64	231.95	231.57	231.89	308	80663	1
2025.10.09	22:21:00	231.87	231.92	231.54	231.67	412	99686	1
2025.10.09	22:22:00	231.68	232.25	231.66	231.98	702	231800	1
2025.10.09	22:23:00	231.94	232.11	231.83	231.95	313	80821	1
2025.10.09	22:24:00	231.86	231.99	231.52	231.83	352	100061	1
2025.10.09	22:25:00	231.84	231.97	231.70	231.82	205	46939	1
2025.10.09	22:26:00	231.82	231.89	231.60	231.81	184	39560	1
2025.10.09	22:27:00	231.79	232.28	231.73	232.24	340	78067	1
2025.10.09	22:28:00	232.22	232.74	232.22	232.59	752	167030	1
2025.10.09	22:29:00	232.55	232.61	232.20	232.28	401	98876	1
2025.10.09	22:30:00	232.25	232.41	232.11	232.28	462	95021	1
2025.10.09	22:31:00	232.29	232.60	232.24	232.58	433	111729	1
2025.10.09	22:32:00	232.58	232.69	232.28	232.55	378	101647	1
2025.10.09	22:33:00	232.55	232.95	232.52	232.77	507	150412	1
2025.10.09	22:34:00	232.76	232.97	232.54	232.93	418	126329	1
2025.10.09	22:35:00	232.91	233.04	232.81	232.85	396	111390	1
2025.10.09	22:36:00	232.84	232.99	232.79	232.93	388	100001	1
2025.10.09	22:37:00	232.91	233.00	232.84	232.93	262	46216	1
2025.10.09	22:38:00	232.94	233.22	232.92	233.21	364	86763	1
2025.10.09	22:39:00	233.23	233.27	232.64	232.64	535	143015	1
2025.10.09	22:40:00	232.66	232.67	232.10	232.10	523	140342	1
2025.10.09	22:41:00	232.12	232.37	232.02	232.30	537	136028	1
2025.10.09	22:42:00	232.27	232.32	231.93	232.16	499	112799	1
2025.10.09	22:43:00	232.15	232.20	232.02	232.06	257	53526	1
2025.10.09	22:44:00	232.06	232.24	232.04	232.23	311	54923	1
2025.10.09	22:45:00	232.20	232.29	232.07	232.13	336	96135	1
2025.10.09	22:46:00	232.14	232.17	231.91	231.95	409	116186	1
2025.10.09	22:47:00	231.95	232.31	231.92	232.22	329	77498	1
2025.10.09	22:48:00	232.24	232.31	231.83	231.95	412	114992	1
2025.10.09	22:49:00	231.93	232.14	231.89	232.03	320	64053	1
2025.10.09	22:50:00	232.08	232.48	232.06	232.45	475	97488	1
2025.10.09	22:51:00	232.46	232.65	232.10	232.61	538	127750	1
2025.10.09	22:52:00	232.59	232.63	232.40	232.57	358	99893	1
2025.10.09	22:53:00	232.58	232.88	232.52	232.84	522	164788	1
2025.10.09	22:54:00	232.85	232.88	232.72	232.81	407	84670	1
