<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.09	18:56:00	224.19	224.20	224.04	224.07	427	68955	1
2025.10.09	18:57:00	224.07	224.09	223.94	224.02	301	43168	1
2025.10.09	18:58:00	224.02	224.08	223.98	224.05	231	34746	1
2025.10.09	18:59:00	224.07	224.14	223.95	223.96	311	51744	1
2025.10.09	19:00:00	223.96	224.07	223.91	224.00	333	54543	1
2025.10.09	19:01:00	224.01	224.14	223.99	224.11	245	32994	1
2025.10.09	19:02:00	224.11	224.12	223.91	223.96	380	58442	1
2025.10.09	19:03:00	223.94	224.08	223.87	224.07	264	50603	1
2025.10.09	19:04:00	224.07	224.09	224.01	224.08	186	42795	1
2025.10.09	19:05:00	224.08	224.10	223.76	223.87	231	43413	1
2025.10.09	19:06:00	223.89	223.90	223.78	223.86	168	28840	1
2025.10.09	19:07:00	223.84	223.86	223.73	223.75	165	47557	1
2025.10.09	19:08:00	223.75	223.85	223.72	223.83	99	15428	1
2025.10.09	19:09:00	223.84	223.95	223.82	223.84	163	28029	1
2025.10.09	19:10:00	223.83	223.83	223.64	223.66	114	17378	1
2025.10.09	19:11:00	223.66	223.68	223.56	223.61	141	26996	1
2025.10.09	19:12:00	223.61	223.77	223.60	223.77	81	12737	1
2025.10.09	19:13:00	223.77	223.88	223.77	223.82	109	16024	1
2025.10.09	19:14:00	223.81	223.93	223.77	223.90	96	17573	1
2025.10.09	19:15:00	223.90	223.90	223.84	223.87	114	27965	1
2025.10.09	19:16:00	223.91	223.98	223.88	223.97	107	18157	1
2025.10.09	19:17:00	223.97	224.06	223.97	224.02	139	27793	1
2025.10.09	19:18:00	224.02	224.07	223.99	224.06	146	31907	1
2025.10.09	19:19:00	224.07	224.10	224.04	224.06	117	18837	1
2025.10.09	19:20:00	224.08	224.09	224.00	224.04	153	28056	1
2025.10.09	19:21:00	224.05	224.12	224.04	224.12	120	17621	1
2025.10.09	19:22:00	224.14	224.14	223.95	224.01	135	33335	1
2025.10.09	19:23:00	224.01	224.31	223.97	224.26	193	44613	1
2025.10.09	19:24:00	224.26	224.34	224.24	224.34	158	48922	1
2025.10.09	19:25:00	224.35	224.47	224.19	224.26	278	60220	1
2025.10.09	19:26:00	224.26	224.32	224.17	224.22	304	46345	1
2025.10.09	19:27:00	224.21	224.26	224.11	224.24	217	38227	1
2025.10.09	19:28:00	224.24	224.35	224.16	224.16	139	29458	1
2025.10.09	19:29:00	224.18	224.21	224.06	224.13	115	22653	1
2025.10.09	19:30:00	224.13	224.23	224.12	224.22	69	19674	1
2025.10.09	19:31:00	224.23	224.31	224.22	224.28	62	10898	1
2025.10.09	19:32:00	224.26	224.37	224.20	224.29	108	23023	1
2025.10.09	19:33:00	224.30	224.31	224.24	224.24	78	13980	1
2025.10.09	19:34:00	224.25	224.37	224.25	224.34	99	21797	1
2025.10.09	19:35:00	224.33	224.34	224.16	224.17	156	25517	1
2025.10.09	19:36:00	224.20	224.30	224.18	224.27	86	18061	1
2025.10.09	19:37:00	224.25	224.30	224.19	224.30	55	13122	1
